PURCHASE_DATE,PURCHASE_HOUR,REGION_ID,TYPE_ID,APP_ID,PREMIUM_APP,BASIC_APP,CANCELED_PURCHASES,REVENUE
5/22/2019,35,31,33,1,28,31,67,3188589.12
4/12/2019,58,55,87,2,32,21,92,1161212.1
6/2/2019,50,99,42,3,99,67,58,5321883.77
8/23/2019,69,5,15,4,22,34,81,8993050
12/12/2019,96,65,87,5,61,63,50,8911416
3/15/2019,54,1,68,6,88,14,10,7918753.04
12/22/2019,73,38,22,7,2,78,1,6029155.98
10/3/2019,72,97,28,8,17,92,30,4349267.23
4/7/2019,61,58,8,9,21,23,62,4920961.73
12/25/2019,10,86,49,10,43,1,20,3132460.83
5/4/2019,78,42,75,11,57,39,72,6834776.54
12/23/2019,35,89,92,12,40,74,26,2606384.76
12/28/2019,49,71,10,13,27,50,66,8668011
1/23/2020,68,94,13,14,57,31,24,8278032
3/5/2020,89,4,18,15,26,47,89,1059100.55
1/2/2020,81,41,40,16,17,32,53,6576457.1
6/1/2019,9,19,51,17,22,100,87,6189210.81
10/12/2019,98,23,76,18,6,100,24,7256404.14
10/19/2019,26,54,1,19,36,32,10,4069071.75
9/7/2019,23,27,58,20,35,8,72,3631395
5/28/2019,78,54,39,21,69,20,16,5319522
1/11/2020,80,5,39,22,100,16,88,1361910
7/17/2019,73,36,61,23,34,15,31,5410154
12/23/2019,90,83,5,24,37,100,69,1276678.38
1/9/2020,43,40,74,25,28,20,16,6420959
9/4/2019,83,22,17,26,80,58,46,9140452
6/18/2019,1,8,58,27,1,20,87,6759414
11/26/2019,48,100,84,28,47,68,49,860690.02
5/30/2019,2,31,92,29,84,51,11,3170798.24
8/4/2019,3,28,67,30,57,18,47,4857201.56
5/20/2019,9,45,31,31,84,11,63,2687215.43
6/20/2019,65,1,60,32,90,13,50,4805077
2/3/2020,40,83,34,33,56,34,71,1933543.72
5/4/2019,34,18,54,34,98,65,67,3688190.84
10/17/2019,98,94,59,35,38,66,51,1989818.34
6/10/2019,23,42,46,36,94,95,90,6967445
7/11/2019,83,69,75,37,34,30,75,7236298
11/17/2019,40,69,68,38,62,15,18,5236677
11/2/2019,96,98,58,39,9,64,89,9071033
7/23/2019,41,55,11,40,96,86,59,5618500
12/29/2019,54,3,49,41,65,93,32,2210603.44
5/30/2019,80,72,35,42,32,40,84,8801116
3/6/2020,45,46,14,43,39,79,22,7989859.82
6/20/2019,10,18,72,44,10,79,49,796177.14
12/2/2019,15,38,69,45,55,32,4,7348809
7/17/2019,84,88,30,46,59,19,48,9459796
2/21/2020,62,60,16,47,53,29,32,8676130
3/16/2019,70,31,92,48,91,18,98,2143384.31
8/19/2019,99,3,22,49,8,31,34,1740051
10/2/2019,53,92,58,50,22,47,44,2089190.23
4/28/2019,81,85,84,51,70,37,54,4007416.36
10/1/2019,85,48,89,52,27,43,87,1903193.49
4/24/2019,65,31,36,53,75,5,99,1351794
7/18/2019,88,81,18,54,26,100,88,5086342.02
9/14/2019,30,90,10,55,99,90,23,8197058
11/16/2019,91,5,60,56,15,42,92,336908.83
12/6/2019,41,94,57,57,48,23,96,4599564
10/20/2019,55,23,25,58,49,78,43,4294476.81
1/12/2020,20,33,48,59,56,74,71,6699658
6/20/2019,11,29,13,60,55,54,55,1947873.49
8/20/2019,12,44,79,61,29,7,90,5212752
11/16/2019,10,15,25,62,7,2,93,2853019
3/8/2020,86,4,46,63,22,33,4,4388152.19
2/6/2020,80,8,50,64,49,68,64,9317951
1/11/2020,9,88,87,65,8,54,97,9315431
3/31/2019,80,32,32,66,53,1,3,2437896.75
4/16/2019,44,34,82,67,24,16,21,8773196
11/28/2019,25,64,47,68,60,88,6,1657663.89
5/19/2019,21,80,38,69,99,20,68,4817548
10/2/2019,11,75,6,70,43,73,75,3588960.67
11/17/2019,58,72,40,71,42,86,88,19105.9
1/25/2020,33,5,98,72,4,50,84,4248998.34
10/29/2019,2,59,82,73,9,65,56,697222.41
8/5/2019,64,14,35,74,34,64,100,2394155
2/27/2020,56,2,48,75,26,23,73,2658366.02
10/29/2019,15,60,53,76,100,58,53,7318148
2/5/2020,37,73,38,77,25,2,74,7016578.14
9/11/2019,92,37,93,78,71,53,77,5942824.42
3/4/2020,6,1,62,79,57,20,32,4992482
1/25/2020,94,27,22,80,79,16,55,7744186
10/10/2019,33,98,8,81,33,70,87,9110619
5/4/2019,68,19,59,82,55,31,83,5978688.14
11/17/2019,72,26,71,83,10,74,57,4886769
1/2/2020,24,31,67,84,56,50,8,2872941.9
4/13/2019,45,73,45,85,75,58,94,6976711
6/20/2019,32,45,95,86,39,37,48,7571263.89
5/23/2019,90,13,67,87,58,46,28,4060149.33
10/7/2019,12,37,23,88,5,52,91,2672211
11/19/2019,20,74,62,89,64,62,10,3099407
3/14/2019,100,11,79,90,96,8,62,5903629
9/18/2019,30,46,30,91,63,20,72,3111254.89
4/12/2019,47,74,26,92,81,17,57,9961421
3/2/2020,10,6,70,93,77,73,49,6531183.81
12/30/2019,53,62,85,94,91,9,38,3379734.71
4/5/2019,97,65,67,95,50,61,83,2765522
10/13/2019,63,57,74,96,45,94,71,4775228
5/26/2019,34,73,48,97,66,19,13,2755571.99
12/18/2019,70,80,92,98,60,88,85,206759
3/9/2019,74,91,82,99,3,86,93,6189050
4/19/2019,42,71,41,100,79,6,1,9613913
10/22/2019,37,7,60,101,79,36,13,449372.77
6/20/2019,77,35,49,102,2,88,13,1781457.11
2/27/2020,13,65,35,103,35,15,80,9730164
12/22/2019,70,15,64,104,41,8,66,7035360
2/8/2020,12,70,47,105,31,45,99,2906740.86
11/4/2019,86,24,27,106,44,88,61,1884234
11/1/2019,60,44,98,107,9,10,43,6170518
9/5/2019,62,24,49,108,65,82,92,9157604
10/30/2019,87,34,35,109,25,70,51,1956338.3
2/18/2020,41,6,49,110,32,79,53,6339289
8/12/2019,23,16,81,111,39,13,57,4228163.87
6/3/2019,44,14,10,112,69,97,49,8262066
5/31/2019,44,51,55,113,44,78,5,1437097.06
3/13/2019,48,31,10,114,28,9,40,599143.35
11/9/2019,33,57,37,115,4,79,46,9403811
6/4/2019,37,91,34,116,52,36,46,8135500.69
9/21/2019,76,43,94,117,14,24,22,3073625
3/11/2019,90,39,94,118,7,70,98,2155590
4/29/2019,70,9,45,119,29,76,54,2489106.53
2/29/2020,19,79,62,120,17,12,72,8259906.16
2/26/2020,60,4,98,121,54,15,55,8252311
8/6/2019,5,13,9,122,11,95,58,6994429
5/1/2019,49,74,71,123,45,26,51,6542779
3/23/2019,46,98,45,124,4,69,9,6842517.67
8/29/2019,21,79,35,125,33,76,47,6999284
4/25/2019,73,12,13,126,93,39,30,1952469.59
12/22/2019,95,62,32,127,17,59,83,6458052
1/25/2020,73,31,94,128,84,85,31,9371694
7/18/2019,7,29,1,129,17,33,64,1767087.42
5/11/2019,75,48,82,130,20,84,64,2976109.89
9/4/2019,51,46,12,131,96,37,21,7683520
3/28/2019,23,77,83,132,99,26,18,9545040
8/31/2019,88,77,85,133,23,50,52,3440974.91
10/16/2019,33,75,76,134,72,93,37,9073129
1/30/2020,3,1,44,135,72,13,28,5975716.38
8/26/2019,73,77,80,136,56,98,98,6600557.67
1/3/2020,48,75,55,137,10,23,57,4228129.11
5/1/2019,70,94,54,138,4,59,98,3353795.5
8/8/2019,39,54,44,139,31,85,68,5553489
10/14/2019,79,76,18,140,33,89,38,326446.28
5/17/2019,96,65,52,141,52,96,22,5387659.09
1/16/2020,60,96,17,142,41,91,9,6854777.49
1/19/2020,27,62,37,143,43,37,29,6672712
1/30/2020,39,17,74,144,74,12,2,1838077.67
2/9/2020,30,20,55,145,36,15,39,7719865.68
9/7/2019,18,64,51,146,94,11,47,9515702
5/1/2019,61,94,97,147,2,14,25,5433935.83
12/13/2019,44,43,71,148,98,13,47,8969970
12/28/2019,80,41,35,149,25,78,78,7631144
11/23/2019,32,51,15,150,82,5,62,3938962
6/13/2019,12,82,41,151,49,89,39,5818783
5/24/2019,24,2,36,152,56,29,97,9667458
4/29/2019,52,36,38,153,3,71,3,7088135.61
10/14/2019,97,62,4,154,23,100,15,2877898
2/10/2020,66,22,53,155,49,62,72,5626968
10/5/2019,54,41,3,156,74,54,11,6183176.6
8/23/2019,18,87,21,157,6,23,57,8046367.61
11/9/2019,98,3,40,158,34,57,6,4362603
9/14/2019,69,32,22,159,38,8,50,2069446.99
1/29/2020,66,77,98,160,37,50,73,4105474.26
3/2/2020,18,17,49,161,43,35,86,6018642.1
5/20/2019,48,6,41,162,22,78,91,3851043.98
10/13/2019,24,10,66,163,36,32,71,237981.96
6/15/2019,59,37,73,164,20,95,24,8524307
11/4/2019,99,45,27,165,9,53,34,5756889
10/13/2019,62,95,82,166,100,34,58,711079.53
9/29/2019,100,15,56,167,54,46,45,7714003.14
11/23/2019,4,9,73,168,6,62,94,3587362
3/13/2019,21,19,29,169,66,57,99,2144094.15
1/30/2020,25,2,66,170,81,92,50,2995853.1
1/21/2020,87,2,93,171,23,45,13,5944322.01
7/8/2019,39,93,3,172,88,29,47,9680058
8/7/2019,38,86,23,173,79,89,9,3024312.85
6/22/2019,88,59,100,174,45,58,90,1896907.61
3/12/2019,13,57,17,175,39,14,91,9012482
9/6/2019,76,17,96,176,3,94,2,416829.28
8/5/2019,51,39,8,177,78,42,18,2294009
5/19/2019,96,10,52,178,51,74,89,687188.24
10/17/2019,23,24,90,179,13,63,5,5146726
9/25/2019,45,77,69,180,67,5,28,996651.92
4/9/2019,63,55,78,181,11,40,26,5510115
10/9/2019,48,61,10,182,40,98,39,7328489.38
2/21/2020,46,81,24,183,62,18,7,5993251.9
7/20/2019,49,32,65,184,56,33,68,4257315
3/10/2019,70,7,46,185,42,6,11,8729597
4/26/2019,88,16,22,186,26,73,14,1744543.28
5/4/2019,56,33,62,187,47,29,54,7439663.84
2/22/2020,44,23,32,188,17,59,25,8610698
12/22/2019,29,43,49,189,29,3,23,4448287
10/9/2019,73,39,52,190,93,7,45,9958503
11/18/2019,70,65,4,191,15,26,6,6539623
10/13/2019,3,11,81,192,25,24,28,6273551
3/22/2019,54,90,70,193,13,4,51,9110507
12/24/2019,78,5,98,194,17,84,9,6716034.52
11/24/2019,70,5,63,195,59,19,11,93917.35
2/15/2020,25,12,82,196,47,3,67,1955839
8/3/2019,91,32,94,197,55,44,9,6055967.56
11/1/2019,69,28,21,198,4,61,56,2075534.95
7/6/2019,67,78,34,199,98,62,74,3109836.84
9/23/2019,71,7,39,200,79,74,93,6543799.17
1/28/2020,23,51,34,201,77,51,69,3985708.1
7/24/2019,56,23,19,202,77,61,60,6940815
9/17/2019,36,81,34,203,57,97,37,4126196.38
11/6/2019,93,82,24,204,6,69,7,3875892.32
5/16/2019,40,4,92,205,69,9,50,7501396.23
9/7/2019,94,78,9,206,8,52,92,1275387
8/28/2019,96,14,95,207,86,66,43,5287819
11/10/2019,85,59,97,208,31,94,34,8841540
8/29/2019,30,50,74,209,37,49,34,3530080
5/31/2019,44,55,72,210,39,12,97,2469786.47
7/1/2019,10,40,48,211,62,11,36,6735460
7/29/2019,93,60,79,212,31,1,34,3855161
7/12/2019,23,61,53,213,17,81,75,257452.19
2/28/2020,65,56,5,214,93,44,10,8649649
2/8/2020,28,90,12,215,99,4,91,9628064
11/9/2019,52,38,66,216,63,44,20,9550972
2/22/2020,7,59,75,217,20,15,3,2337988.56
12/16/2019,1,26,36,218,24,8,94,8867457
9/13/2019,1,32,76,219,14,67,42,2827793.7
3/1/2020,59,52,81,220,85,33,12,4358155.1
11/16/2019,47,86,86,221,1,71,48,5069978.66
3/4/2020,68,26,38,222,74,65,39,7518873
3/30/2019,57,36,93,223,28,91,85,6574787
6/21/2019,36,88,97,224,9,28,25,4967914
10/28/2019,17,48,86,225,65,82,52,1216775.12
4/23/2019,47,59,30,226,84,10,14,7800682.26
10/8/2019,73,31,97,227,74,15,46,7218221
2/27/2020,93,59,27,228,62,34,31,7653320.83
10/26/2019,77,58,11,229,87,76,87,851152.18
12/23/2019,59,28,39,230,33,81,53,9974539
9/6/2019,48,90,35,231,41,46,65,2988381.54
8/7/2019,27,38,51,232,94,59,16,3290701
4/28/2019,5,12,59,233,11,70,6,8335884.97
6/22/2019,92,32,36,234,85,10,72,8904356
3/30/2019,69,45,17,235,58,95,14,3469277.14
7/27/2019,23,61,82,236,65,87,57,8065041
8/17/2019,52,30,14,237,28,49,83,6404182.41
9/13/2019,45,38,82,238,9,19,51,8517993
5/16/2019,25,2,93,239,27,89,64,3697404.57
8/11/2019,71,27,2,240,70,19,26,7999860.28
3/20/2019,30,24,88,241,35,83,14,2255915.31
1/13/2020,11,73,59,242,47,98,79,7480092
3/26/2019,82,39,92,243,93,17,84,6471674
5/7/2019,47,83,2,244,100,74,39,7534183.47
12/10/2019,32,52,53,245,33,65,60,5091248.68
7/8/2019,12,94,29,246,27,83,43,9324669
6/26/2019,34,80,47,247,48,90,7,8391422
3/30/2019,50,39,20,248,53,58,5,1573078.31
4/26/2019,94,87,1,249,70,77,83,1627998.16
1/25/2020,7,22,10,250,77,81,15,9827406
7/8/2019,79,88,54,251,90,48,27,5485955
12/7/2019,49,81,83,252,12,84,41,2844133.37
11/10/2019,47,13,5,253,37,20,42,4081479.7
7/28/2019,9,95,1,254,100,1,66,5195815
2/13/2020,80,22,83,255,88,74,84,7141636
9/28/2019,30,10,59,256,18,40,74,6441840
12/6/2019,68,33,7,257,62,31,63,9840121
3/27/2019,32,95,9,258,76,25,14,1790906.69
4/1/2019,43,94,4,259,43,4,16,1230466.53
2/18/2020,84,47,91,260,29,92,34,9643984
11/17/2019,72,98,1,261,33,21,27,7122884.14
1/20/2020,19,87,26,262,57,26,7,7148388
10/10/2019,78,77,70,263,60,67,41,7221089.61
3/18/2019,5,27,100,264,90,69,70,5112911.92
8/24/2019,58,25,43,265,64,72,48,399546.92
1/29/2020,1,13,90,266,8,95,23,7070749.96
12/15/2019,37,41,15,267,14,12,43,3501305
6/4/2019,94,35,43,268,97,89,40,6730082
5/23/2019,29,96,90,269,95,95,75,6743454.9
9/13/2019,12,61,20,270,67,21,96,9045171
